"filename", "language", "YAML", "Dart", "C++", "Markdown", "JSON", "XML", "Groovy", "Properties", "Swift", "comment", "blank", "total"
"c:\Users\Maciek\FlutterProjects\sneakers\lib\models\cart_product.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\Maciek\FlutterProjects\sneakers\lib\models\product.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\Maciek\FlutterProjects\sneakers\lib\models\user.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\Maciek\FlutterProjects\sneakers\lib\screens\cart_screen\cart_screen.dart", "Dart", 0, 144, 0, 0, 0, 0, 0, 0, 0, 1, 4, 149
"c:\Users\Maciek\FlutterProjects\sneakers\lib\screens\cart_screen\controllers\cart_controller.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 14, 12, 80
"c:\Users\Maciek\FlutterProjects\sneakers\lib\screens\cart_screen\widgets\cart_product.dart", "Dart", 0, 198, 0, 0, 0, 0, 0, 0, 0, 0, 4, 202
"c:\Users\Maciek\FlutterProjects\sneakers\lib\screens\home_screen\controllers\navigation_controller.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\Maciek\FlutterProjects\sneakers\lib\screens\home_screen\home_screen.dart", "Dart", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 3, 56
"c:\Users\Maciek\FlutterProjects\sneakers\lib\screens\home_screen\views\home_view.dart", "Dart", 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 8, 141
"c:\Users\Maciek\FlutterProjects\sneakers\lib\screens\home_screen\views\profile_view.dart", "Dart", 0, 137, 0, 0, 0, 0, 0, 0, 0, 1, 8, 146
"c:\Users\Maciek\FlutterProjects\sneakers\lib\screens\home_screen\widgets\app_bar.dart", "Dart", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 2, 96
"c:\Users\Maciek\FlutterProjects\sneakers\lib\screens\home_screen\widgets\navigation_bottom.dart", "Dart", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 4, 73
"c:\Users\Maciek\FlutterProjects\sneakers\lib\screens\home_screen\widgets\profile_input.dart", "Dart", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 4, 67
"c:\Users\Maciek\FlutterProjects\sneakers\lib\screens\login_screen\controllers\log_in_controller.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 1, 6, 40
"c:\Users\Maciek\FlutterProjects\sneakers\lib\screens\login_screen\login_screen.dart", "Dart", 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 5, 134
"c:\Users\Maciek\FlutterProjects\sneakers\lib\screens\product_screen\controllers\product_screen_controller.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Maciek\FlutterProjects\sneakers\lib\screens\product_screen\product_screen.dart", "Dart", 0, 284, 0, 0, 0, 0, 0, 0, 0, 0, 7, 291
"c:\Users\Maciek\FlutterProjects\sneakers\lib\screens\register_screen\controllers\register_controller.dart", "Dart", 0, 80, 0, 0, 0, 0, 0, 0, 0, 1, 14, 95
"c:\Users\Maciek\FlutterProjects\sneakers\lib\screens\register_screen\register_screen.dart", "Dart", 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 5, 154
"c:\Users\Maciek\FlutterProjects\sneakers\lib\screens\splash_screen\splash_screen.dart", "Dart", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 4, 56
"c:\Users\Maciek\FlutterProjects\sneakers\lib\services\database.dart", "Dart", 0, 65, 0, 0, 0, 0, 0, 0, 0, 14, 8, 87
"c:\Users\Maciek\FlutterProjects\sneakers\lib\utils\precache_image.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 4, 27
"c:\Users\Maciek\FlutterProjects\sneakers\lib\utils\theme.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 2, 29
"c:\Users\Maciek\FlutterProjects\sneakers\lib\widgets\delete_dialog.dart", "Dart", 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 5, 199
"c:\Users\Maciek\FlutterProjects\sneakers\lib\widgets\product_card.dart", "Dart", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 4, 123
"c:\Users\Maciek\FlutterProjects\sneakers\lib\widgets\text_input.dart", "Dart", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 4, 69
"c:\Users\Maciek\FlutterProjects\sneakers\pubspec.yaml", "YAML", 29, 0, 0, 0, 0, 0, 0, 0, 0, 44, 17, 90
"Total", "-", 29, 2569, 1, 8, 184, 142, 89, 9, 12, 125, 234, 3402
